Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,02557d38576e79f50beed8caf6aa2ae1fca0f184,72,eng/build.sh,eng,build.sh,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,b90eb50ed32a1663c7f8c952205eea2289775418,21,eng/cibuild.sh,eng,cibuild.sh,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,245a17cd1a39b7dfdbfb587a4d281eac68cbda61,13,eng/policheck_exclusions.xml,eng,policheck_exclusions.xml,,.xml
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,2943f001839c2117ca48bdf297f055267941837f,660,images/LanguagePicker.png,images,LanguagePicker.png,,.png
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,ca576c9327d5f894e08767b21c690fac6c229133,4033,images/MermaidExample.gif,images,MermaidExample.gif,,.gif
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,c67cd89d1f021977e2d9321ea98fe5d73b97df10,10803,images/RunningCodeExample.gif,images,RunningCodeExample.gif,,.gif
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,0a93296d530a624bf61ef5d769a2599f100a357e,100224,images/SQLJavaScript.gif,images,SQLJavaScript.gif,,.gif
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,62c2e9868b107faf5b363f6527c5876bdf060b0b,21629,images/VariableSharingExample.gif,images,VariableSharingExample.gif,,.gif
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,88eaa312fd71d9664fcaa0a9f608217dd9eeb273,564,images/connect-to-python.png,images,connect-to-python.png,,.png
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,df0f2c18bc4543fa0c14fc7e8630cf1b2080fc7e,3262,images/variable-sharing-with-variables-view.gif,images,variable-sharing-with-variables-view.gif,,.gif
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,69154498c66fd46964d5b4bb18a15b1780f4205f,2,samples/.gitignore,samples,.gitignore,,.gitignore
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,2ae4de442ab71382a828ce4e25a099cdc95ca7fb,11,samples/readme.md,samples,readme.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,82da853bd342c1f2a7ea1be3bef777acab2b684d,29,src/ensure-symlinks.ps1,src,ensure-symlinks.ps1,,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,265680b630a6195eca6d380505e70dcc0a156aad,40,tools/setup-raspbian-jupyter.sh,tools,setup-raspbian-jupyter.sh,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,da10a604475798473407dde6dbed13bfe29af56b,77,tools/setup-raspbian.sh,tools,setup-raspbian.sh,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,345969e90deb5f5fe99c3bacf8110ab7cf814c08,42,.github/ISSUE_TEMPLATE/Annoucement_Template.md,.github,ISSUE_TEMPLATE,Annoucement_Template.md,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,6a96ffedfb1b808ea9f79cedd461bf532872ed5e,39,.github/ISSUE_TEMPLATE/bug_report.md,.github,ISSUE_TEMPLATE,bug_report.md,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,234ef25466ce5974a3e4464bc80adefac7c2b9f7,17,.github/ISSUE_TEMPLATE/feature_request.md,.github,ISSUE_TEMPLATE,feature_request.md,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,9318ff08d58f20f440b26a3d2966e755ca39389f,20,.github/ISSUE_TEMPLATE/question.md,.github,ISSUE_TEMPLATE,question.md,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,fc8a1b3e910a97b65c78f9fa75da178bf747bebd,63,eng/Localize/LocProject.json,eng,Localize,LocProject.json,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,56c2f25ac22ffa438d8c0cdcfab09f9b691d6b55,2,eng/common/CIBuild.cmd,eng,common,CIBuild.cmd,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4c1ea7c98ea4d101c0ac3f0d4972e55b243ca5f1,11,eng/common/PSScriptAnalyzerSettings.psd1,eng,common,PSScriptAnalyzerSettings.psd1,.psd1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,ff49c371527a031605d4570a18804b8de3621812,28,eng/common/README.md,eng,common,README.md,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,efa2fd72bfaa223ab2bd9dd602d928e81f90a1a9,167,eng/common/SetupNugetSources.ps1,eng,common,SetupNugetSources.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,d387c7eac95e54e2573f6169cc6a8fd47855549c,171,eng/common/SetupNugetSources.sh,eng,common,SetupNugetSources.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,33a6f2d0e2481193108694cf8de48a4565dc72de,166,eng/common/build.ps1,eng,common,build.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,50af40cdd2ce60c5f7b5b97ed9e80d304c0744a6,247,eng/common/build.sh,eng,common,build.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,1a02c0dec8fd7b1abf9143e183c5415ba4b15a8b,16,eng/common/cibuild.sh,eng,common,cibuild.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,8fda30bdce2b0954caa5022599f9a0ae7c3176d0,47,eng/common/darc-init.ps1,eng,common,darc-init.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,c305ae6bd771ef3090d380168d75878a35b65f0f,82,eng/common/darc-init.sh,eng,common,darc-init.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,b1c2642e76f7253e66c65d967056d8cceca6b631,2,eng/common/dotnet-install.cmd,eng,common,dotnet-install.cmd,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,811f0f717f736aaa0c0125e5bc80f2c3f3504164,28,eng/common/dotnet-install.ps1,eng,common,dotnet-install.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,7e69e3a9e24a798ec71603c395d1453ba5e3b867,91,eng/common/dotnet-install.sh,eng,common,dotnet-install.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,da09da4f1fc445eea2444af715442160f2e82f75,13,eng/common/enable-cross-org-publishing.ps1,eng,common,enable-cross-org-publishing.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,524aaa57f2b7425bb3b6034a30db7d57395d9885,189,eng/common/generate-locproject.ps1,eng,common,generate-locproject.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,3e5c1c74a1c50d58c230788207131634aea9c3cc,21,eng/common/generate-sbom-prep.ps1,eng,common,generate-sbom-prep.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,d5c76dc827b49692b458657fc56a483c7d27f6dc,34,eng/common/generate-sbom-prep.sh,eng,common,generate-sbom-prep.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,d7f185856e7912e2636e844c07befb59fccb05f2,26,eng/common/helixpublish.proj,eng,common,helixpublish.proj,.proj
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,438cd548c452ccf60b9077fb60d142f56c5488d5,3,eng/common/init-tools-native.cmd,eng,common,init-tools-native.cmd,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,27ccdb9ecc95163a079ea7d864a9b031e69d578f,203,eng/common/init-tools-native.ps1,eng,common,init-tools-native.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,3e6a8d6acf2f572e8255a69469a220214d2c5351,238,eng/common/init-tools-native.sh,eng,common,init-tools-native.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,92b77347d9904ecd808f34cebfff1ca0f6251ab1,132,eng/common/internal-feed-operations.ps1,eng,common,internal-feed-operations.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,9378223ba0955b3c8e769033871f1f65ca3ecd85,141,eng/common/internal-feed-operations.sh,eng,common,internal-feed-operations.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,f041e5ddd95892b0e39e8c3a6ff35f8605a73877,28,eng/common/msbuild.ps1,eng,common,msbuild.ps1,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,20d3dad543520089f303cd09c30d3ee59489aae9,58,eng/common/msbuild.sh,eng,common,msbuild.sh,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,8e422c561e4bdb9fc494dfebe372297d87bbee12,260,eng/common/pipeline-logging-functions.ps1,eng,common,pipeline-logging-functions.ps1,.ps1
