Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
4,2019,47,1,22,8,0,0,1,11/22/2019 20:18:41,11/22/2019 20:18:41
4,2020,14,1,5,17,0,0,1,04/02/2020 00:46:41,04/02/2020 00:46:41
4,2020,21,1,1,0,0,0,1,05/18/2020 18:02:41,05/18/2020 18:02:41
4,2020,41,1,70,18,1,0,1,10/06/2020 05:26:36,10/06/2020 05:26:36
4,2021,12,1,295,287,0,0,8,03/15/2021 16:52:19,03/15/2021 16:52:19
4,2021,18,1,3,27,0,0,3,04/29/2021 00:08:24,04/29/2021 00:08:24
11,2018,19,2,2048598,5,2,0,2,05/07/2018 17:48:17,05/07/2018 21:09:23
13,2018,19,2,10,10,0,0,7,05/07/2018 22:11:06,05/07/2018 22:23:35
13,2019,22,1,3,3,0,0,1,05/30/2019 16:52:10,05/30/2019 16:52:10
13,2019,40,1,1,1,0,0,1,10/03/2019 00:37:03,10/03/2019 00:37:03
14,2018,19,1,14,1,0,0,2,05/08/2018 05:06:19,05/08/2018 05:06:19
16,2018,19,1,20,13,0,0,1,05/08/2018 20:44:39,05/08/2018 20:44:39
16,2019,7,1,27,55,0,0,3,02/15/2019 03:11:36,02/15/2019 03:11:36
16,2019,9,2,83,398,0,1,18,02/27/2019 05:57:39,02/27/2019 23:49:46
16,2019,12,1,28,0,0,0,2,03/18/2019 22:24:27,03/18/2019 22:24:27
16,2019,43,1,7707,3,45,0,2,10/25/2019 20:30:36,10/25/2019 20:30:36
16,2019,44,2,745,283,7,0,22,10/29/2019 03:12:03,10/30/2019 22:56:36
17,2018,19,1,3,2,0,0,2,05/08/2018 21:52:58,05/08/2018 21:52:58
18,2018,19,1,5,3,0,0,1,05/09/2018 16:00:56,05/09/2018 16:00:56
19,2018,19,1,1,1,0,0,1,05/09/2018 17:58:23,05/09/2018 17:58:23
19,2018,21,4,15115,27,60,0,4,05/24/2018 22:05:43,05/24/2018 22:08:54
19,2018,22,2,291989,31,152,0,8,05/30/2018 06:00:28,05/30/2018 06:01:35
19,2018,36,1,669,0,1,0,2,09/05/2018 22:18:32,09/05/2018 22:18:32
19,2018,37,2,137,9,1,0,6,09/11/2018 08:00:13,09/12/2018 17:21:21
19,2018,38,1,240,36,3,0,5,09/19/2018 20:24:31,09/19/2018 20:24:31
19,2018,39,2,4076,107,50,0,7,09/23/2018 04:09:00,09/27/2018 19:17:30
19,2018,41,1,357,77,0,0,12,10/10/2018 21:00:30,10/10/2018 21:00:30
19,2018,42,1,1221,722,0,0,16,10/16/2018 19:01:38,10/16/2018 19:01:38
19,2018,43,3,768,6033,0,2,21,10/24/2018 21:14:41,10/26/2018 03:12:08
19,2018,47,1,5,19,0,0,6,11/21/2018 17:55:38,11/21/2018 17:55:38
19,2018,48,2,141,110,1,0,25,11/28/2018 20:59:44,11/29/2018 20:16:54
19,2018,49,2,957,1800,0,2,20,12/04/2018 20:51:35,12/08/2018 01:14:19
19,2018,50,2,870,2226,0,2,13,12/10/2018 23:22:55,12/14/2018 19:10:35
19,2018,51,1,69,1,1,0,4,12/21/2018 00:54:57,12/21/2018 00:54:57
19,2018,52,1,30,14,1,0,2,12/27/2018 17:56:28,12/27/2018 17:56:28
19,2019,1,1,13,19,0,0,1,01/04/2019 01:13:15,01/04/2019 01:13:15
19,2019,2,4,419,162,0,0,18,01/08/2019 23:06:41,01/11/2019 00:30:21
19,2019,3,1,130,82,1,0,14,01/15/2019 20:28:28,01/15/2019 20:28:28
19,2019,4,2,1168,374,4,0,21,01/22/2019 19:46:06,01/25/2019 23:55:07
19,2019,5,2,3,3,0,0,2,02/01/2019 18:15:11,02/01/2019 18:55:57
19,2019,6,2,44,15,1,0,13,02/05/2019 23:11:26,02/07/2019 21:47:12
19,2019,8,1,69,8,1,0,5,02/19/2019 22:18:06,02/19/2019 22:18:06
19,2019,9,5,401,332,1,1,22,02/26/2019 00:25:03,03/02/2019 16:35:41
19,2019,10,1,11,7,0,0,2,03/06/2019 00:18:19,03/06/2019 00:18:19
19,2019,17,1,32,41,0,0,2,04/26/2019 18:21:46,04/26/2019 18:21:46
19,2019,18,1,7,5,0,0,1,04/29/2019 03:49:06,04/29/2019 03:49:06
20,2018,19,1,14,14,0,0,1,05/10/2018 00:47:34,05/10/2018 00:47:34
21,2018,19,1,1,1,0,0,1,05/10/2018 15:21:26,05/10/2018 15:21:26
21,2018,29,1,10,13,0,0,7,07/16/2018 20:33:11,07/16/2018 20:33:11
22,2018,19,1,136,81,0,0,3,05/11/2018 15:39:25,05/11/2018 15:39:25
22,2018,20,3,803,89,0,0,13,05/14/2018 14:39:32,05/16/2018 20:47:56
22,2018,21,3,1707,685,0,0,25,05/23/2018 18:30:03,05/24/2018 21:47:35
22,2018,23,1,439,67,0,0,9,06/05/2018 17:17:21,06/05/2018 17:17:21
22,2018,24,1,66,13,0,0,3,06/13/2018 17:51:19,06/13/2018 17:51:19
22,2018,25,2,401,43,1,0,9,06/19/2018 20:41:55,06/20/2018 20:59:30
