Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,d94bb9238f9f1f3a98b73f72ee3ebf6579bd124b,3,PythonPrototype/Commits.csv,PythonPrototype,Commits.csv,,.csv
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,dd3f5528d221264a100c3ba5974e107007e53b09,12,PythonPrototype/FileCommits.csv,PythonPrototype,FileCommits.csv,,.csv
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,7142f1c7439df0d3b093efc41e90a18051b10e2e,6,PythonPrototype/FileData.csv,PythonPrototype,FileData.csv,,.csv
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,8cde4ef028ee7866faa4fadff76b4c9487bcd98c,6,PythonPrototype/FileSizes.csv,PythonPrototype,FileSizes.csv,,.csv
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,391de210de5dee889acf9ad8c1bb97832cf3c5dc,249,PythonPrototype/GitStractor.ipynb,PythonPrototype,GitStractor.ipynb,,.ipynb
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,f4f48b87188d65eb0b84af4ec98c9d154611cb8b,6877,PythonPrototype/GitStractor.twb,PythonPrototype,GitStractor.twb,,.twb
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,a3c12dc0cc6a32b047653516b64234b314ea79f0,7,PythonPrototype/MergedFileData.csv,PythonPrototype,MergedFileData.csv,,.csv
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,877de8552452f18fcd0125ede16cd36eab61cf50,41,PythonPrototype/readme.md,PythonPrototype,readme.md,,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,dd84ea7824f11be1eeda22377549cbc1aec7f980,38,.github/ISSUE_TEMPLATE/bug_report.md,.github,ISSUE_TEMPLATE,bug_report.md,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,bbcbbe7d61558adde3cbfd0c7a63a67c27ed6d30,20,.github/ISSUE_TEMPLATE/feature_request.md,.github,ISSUE_TEMPLATE,feature_request.md,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,9e26dfeeb6e641a33dae4961196235bdb965b21b,1,GitStractor/.vscode/settings.json,GitStractor,.vscode,settings.json,.json
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,523531eea8717334fe5b1f5bf355e3d59cca57f2,24,GitStractor/GitStractor-Acquisition/Dockerfile,GitStractor,GitStractor-Acquisition,Dockerfile,
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,43c629db16b853202a2b0c567413a99439e61f0b,38,GitStractor/GitStractor-Acquisition/GitStractor-Acquire.csproj,GitStractor,GitStractor-Acquisition,GitStractor-Acquire.csproj,.csproj
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,f5ac279701a7b169e26aa82bb40076eaa5e1ee16,36,GitStractor/GitStractor-Acquisition/GitStractorAcquire.cs,GitStractor,GitStractor-Acquisition,GitStractorAcquire.cs,.cs
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,ce486febb2bb50da736683be93dca9a3b0730c01,9,GitStractor/GitStractor-Acquisition/Program.cs,GitStractor,GitStractor-Acquisition,Program.cs,.cs
